l00,l01,l02,l10,l11,l12,l20,l21,l22,li00,li01,li02,li10,li11,li12,li20,li21,li22,o1,o2
30115171679647,40253572498017,4207586125401,-27682180,27682180,-27978396,6779004,-6779004,-33820828,4,-4735362,4414977,4,3719845,-2579622,0,-1694751,-6920545,281197612767569,64931631004625
24330051995173,46038692182491,13816812538572,-17767276,17767276,27753264,9579188,-9579188,48406192,4,-8387643,3667242,4,3713905,-3271074,0,2394797,4441819,281197612767569,27002900411065
-18540276960121,-51828467217543,19641150607516,8050204,-8050204,47075952,-23141924,23141924,4530544,-4,2449046,-8106437,-4,1316410,3662551,0,5785481,2012551,281197612767569,180378962446305
-4952796115861,-33222365234554,37146378943110,26420652,7737880,7737880,-9259444,39902552,39902552,0,9975638,-1934470,-4,519853,3622900,4,1795008,2982263,281197612767569,236432434087241
-16025313336302,-27674479964379,-42694264213285,6817864,34539668,-34539668,-30687928,9672980,-9672980,0,2418245,-8634917,-4,4104045,3000596,-4,-3567937,1296130,281197612767569,204839624131825
-26510121186561,-43858622991103,-15340064317364,-25538564,25538564,-339664,5364700,-5364700,44157616,-4,-7172883,-1444748,-4,3866521,-1359832,0,1341175,6384641,281197612767569,78806164811993
-29867074780666,-40501669396998,-7035296817901,-8572904,8572904,-51918772,18575512,-18575512,-18836340,-4,-2246093,7684910,-4,2462992,-5294783,0,-4643878,-2143226,281197612767569,155310103593729
-10964474392594,15343512769711,-70368744177664,24168376,-16927044,0,21445880,31565404,0,0,7891351,4231761,0,-5361470,6042094,-4,-2398626,658075,281197612767569,215114607052137
13543948389433,-1233617832737,70368744177664,-23384860,33191804,0,-20953116,-18406276,0,0,-4601569,-8297951,0,5238279,-5846215,4,977500,1494627,281197612767569,87320354591249
-4392580632531,-9305791848183,70368744177664,19754164,27541540,0,-19223340,30194116,0,0,7548529,-6885385,0,4805835,4938541,4,1106736,223287,281197612767569,145176796304121
-11737702607695,58631041569969,3656025820840,-13406524,-13406524,-34366816,18434564,18434564,-36725600,-4,-7889360,6984449,4,-1292040,1607255,0,-4608641,-3351631,281197612767569,71814660293153
